เชียงราย,31.5 °C
เชียงใหม่,30.1 °C
แม่ฮ่องสอน,32.7 °C
ตาก,31.5 °C
น่าน,33.4 °C
อุตรดิตถ์,33.7 °C
พิษณุโลก,33.5 °C
กำแพงเพชร,33.3 °C
พิจิตร,33.0 °C
สุโขทัย,33.8 °C
พะเยา,32.0 °C
ลำพูน,32.8 °C
ลำปาง,32.7 °C
แพร่,32.4 °C
เพชรบูรณ์,29.4 °C
หนองคาย,26.0 °C
เลย,25.9 °C
ขอนแก่น,26.2 °C
อุบลราชธานี,28.4 °C
นครราชสีมา,29.9 °C
ร้อยเอ็ด,28.1 °C
มุกดาหาร,26.2 °C
อุดรธานี,25.2 °C
หนองบัวลำภู,25.2 °C
นครพนม,25.9 °C
สกลนคร,25.0 °C
มหาสารคาม,28.5 °C
กาฬสินธุ์,27.8 °C
ชัยภูมิ,35.4 °C
ศรีสะเกษ,28.9 °C
ยโสธร,25.8 °C
สุรินทร์,30.2 °C
บุรีรัมย์,30.7 °C
อำนาจเจริญ,25.5 °C
กาญจนบุรี,33.4 °C
นครสวรรค์,32.5 °C
กรุงเทพมหานคร,31.5 °C
สุพรรณบุรี,31.8 °C
ชัยนาท,31.8 °C
ลพบุรี,32.4 °C
พระนครศรีอยุธยา,33.0 °C
ราชบุรี,30.5 °C
ปทุมธานี,33.8 °C
สมุทรสงคราม,31.2 °C
อุทัยธานี,31.9 °C
นครปฐม,32.5 °C
สมุทรปราการ,29.9 °C
สระแก้ว,35.0 °C
ชลบุรี,29.8 °C
ระยอง,30.0 °C
ปราจีนบุรี,32.5 °C
ตราด,30.0 °C
จันทบุรี,30.1 °C
ฉะเชิงเทรา,26.9 °C
นครนายก,21.9 °C
ประจวบคีรีขันธ์,30.4 °C
ชุมพร,29.0 °C
นครศรีธรรมราช,30.4 °C
นราธิวาส,30.4 °C
สุราษฎร์ธานี,29.4 °C
ยะลา,30.3 °C
ปัตตานี,31.3 °C
สงขลา,27.6 °C
เพชรบุรี,30.6 °C
พัทลุง,28.6 °C
ระนอง,30.0 °C
ภูเก็ต,30.5 °C
กระบี่,30.3 °C
ตรัง,30.8 °C
พังงา,29.7 °C
สตูล,30.5 °C
บึงกาฬ,25.3 °C
